,line_num,matn,width,sehat
0,1,پسری که زنده ماند ,315,299
1,2,آقا و خانم دورسلی ۱ ساکن خانه‌ی شماره‌ی چهار خیابان پریوت درایو ۲ ,604,1060
2,1,پسری که زنده ماند ,315,299
3,2,آقا و خانم دورسلی ! ساکن خانه‌ی شماره‌ی چهار خیابان پریوت درایو ۲ ,604,1003
4,3,بودند. خانواده‌ی آن‌ها بسیار معمولی و عادی بود و آن‌ها از این بابت بسیار ,635,1214
5,4,راضی و خشنود بودند. این خانواده به هیچ وجه با امور مرموز و اسرارآمیز ,634,1234
6,5,سروکار نداشتند زیرا سحر و جادو را امر مهمل و بیهوده‌ای می‌پنداشتند و ,634,1160
7,6,علاقه‌ای به این گونه مسائل نداشتند. ,302,485
8,7,آقای دورسلی مدیر شرکت دریل سازی گرونینگزآ» مردی درشت اندام و ,636,875
9,8,قوی هیکل بود با گردنی بسیار کوتاه که سبیل بلندی نیز داشت. همسر او ,633,1052
10,9,خانم دورسلی زنی لاغراندام بود با موهای بور و گردنی کشیده و بلند. بلندی ,633,1209
11,10,گردنش بسیار برایش مفید بود زیرا بیش‌تر وقتش را صرف سرک کشیدن به ,634,1111
12,1,پسری که زنده ماند ,315,299
13,2,آقا و خانم دورسلی ! ساکن خانه‌ی شماره‌ی چهار خیابان پریوت درایو ۲ ,604,1003
14,3,بودند. خانواده‌ی آن‌ها بسیار معمولی و عادی بود و آن‌ها از این بابت بسیار ,635,1214
15,1,آقا و خانم دورسلی ! ساکن خانه‌ی شماره‌ی چهار خیابان پریوت درایو ۲ ,604,1003
16,2,بودند. خانواده‌ی آن‌ها بسیار معمولی و عادی بود و آن‌ها از این بابت بسیار ,635,1214
17,3,راضی و خشنود بودند. این خانواده به هیچ وجه با امور مرموز و اسرارآمیز ,634,1234
18,4,سروکار نداشتند زیرا سحر و جادو را امر مهمل و بیهوده‌ای می‌پنداشتند و ,634,1160
19,5,علاقه‌ای به این گونه مسائل نداشتند. ,303,496
20,6,آقای دورسلی مدیر شرکت دریل سازی گرونینگزآ» مردی درشت اندام و ,636,875
21,7,قوی هیکل بود با گردنی بسیار کوتاه که سبیل بلندی نیز داشت. همسر او ,633,1052
22,8,خانم دورسلی زنی لاغراندام بود با موهای بور و گردنی کشیده و بلند. بلندی ,633,1209
23,9,گردنش بسیار برایش مفید بود زیرا بیش‌تر وقتش را صرف سرک کشیدن به ,634,1111
24,1,خانه‌ی همسایه‌ها می‌کرد. آن‌ها پسری داشتند به نام دادلی که به عقیده ,634,1046
25,2,1. Dursley 2. Privet Drive ,452,470
26,3,3. Grunnings ,121,185
27,4,۸ هری پاتر و سنگ جادو ,636,538
28,5,خودشان لنگه نداشت. ,190,275
29,6,آن‌ها خانواده‌ی مرفهی بودند و هیچ کم و کسری نداشتند اما در این ,605,1046
30,7,خانواده رازی وجود داشت که نباید برملا می‌شد. آن‌ها هميشه در هول و ,636,1150
31,8,هراس بودند که مبادا روزی کسی به رازشان پی ببرد. حتی تصور این که کسی ,634,1303
32,1,۸ هری پاتر و سنگ جادو ,636,543
33,2,خودشان لنگه نداشت. ,190,275
34,3,آن‌ها خانواده‌ی مرفهی بودند و هیچ کم و کسری نداشتند اما در این ,615,1046
35,4,خانواده رازی وجود داشت که نباید برملا می‌شد. آن‌ها هميشه در هول و ,636,1150
36,5,هراس بودند که مبادا روزی کسی به رازشان پی ببرد. حتی تصور این که کسی ,634,1303
37,6,از خانواده‌ی پاتر! چیزی بداند برایشان غیرقابل تحمل بود. خانم پاتر خواهر ,637,1077
38,7,خانم دورسلی بود اما سال‌ها بود که یکدیگر را ندیده بودند. در واقع خانم ,634,1264
39,8,دورسلی وانمود می‌کرد که خواهری ندارد زیرا خواهر او و شوهر ,636,987
40,1,خانواده رازی وجود داشت که نباید برماد می‌شد. ادها هميشه در هول و ,636,1011
41,2,هراس بودند که مبادا روزی کسی به رازشان پی ببرد. حتی تصور این که کسی ,634,1305
42,3,از خانواده‌ی پاتر! چیزی بداند برایشان غیرقابل تحمل بود. خانم پاتر خواهر ,637,1061
43,4,خانم دورسلی بود اما سال‌ها بود که یکدیگر را ندیده بودند. در واقع خانم ,635,1264
44,5,دورسلی وانمود می‌کرد که خواهری ندارد زیرا خواهر او و شوهر ,636,992
45,6,بی‌مصرفش ذره‌ای به خانواده‌ی آن‌ها شباهت نداشتند. دورسلی‌ها هميشه از ,636,880
46,7,این واهمه داشتند که روزی خانواده‌ی پاتر در آن حوالی آفتابی شوند و ,636,1122
47,8,سرزبان‌ها بیفتند. آن‌ها این را نیز می‌دانستند که خواهر خانم دورسلی یک ,634,1037
48,9,پسر کوچک دارد ولی هرگز او را ندیده بودند و این خود بهانه‌ی دیگری برای ,635,1225
49,10,دوری کردن از پاترها به دست آن‌ها می‌داد زیرا نمی خواستند پسرشان با پسر ,636,1260
50,11,خانواده‌ی پاتر دوست و همبازی شود. ,318,547
51,12,"خلاصه, داستان ما از یک روز سه‌شنبه آغاز شد. صبح آن روز وقتی آقا و ",605,1309
52,13,خانم دورسلی از خواب بیدار شدند هوا ابری بود اما همه چیز عادی به نظر ,647,1349
53,14,می‌رسید و هیچ نشانه‌ای از وقوع یک واقعه‌ی عجیب و اسرارآمیز در سراسر ,634,1081
54,15,کشور وجود نداشت. آقای دورسلی که آوازی را زیر لب زمزمه می‌کرد یکی ,634,1166
55,16,از کراوات‌های تکراریش را برداشت. خانم دورسلی نیز همان‌طور که پشت ,634,973
56,1,ان هرا و Sg DP Ee Sonn EG Da (Caen TN FT) Ure Lo‏ ,634,419
57,2,سر این و آن غیبت می‌کرد دادلی جیغ جیغو را روی صندلیش نشاند. ,568,1088
58,3,هیچ یک از آن‌ها Sy Glogs tee‏ را که از مقابل پنجره پر زد و رفت ,603,1302
59,4,ندیدند. ,63,72
60,5,ساعت هشت ونیم آقای دورسلی کیفش را برداشت تا به محل کارش ,603,1078
61,6,برود. از همسرش خداحافظی کرد اما از آن جا که دادلی نحس شده بود و ,635,1374
62,7,1. Potter ,80,187
63,8,فصل اول * پسری که زنده ماند ۹ ,634,725
64,9,بهانه می‌گرفت نتوانست او را ببوسد. دادلی با اوقات تلخی غذایش را به در و ,635,1368
65,10,دیوار پرتاب می‌کرد. آقای دورسلی گفت: «ای وروجک فسقلی!» و در حالی ,634,1053
66,11,که از ته دل می‌خندید از در بیرون رفت. سوار اتومبیلش شد و دنده عقب از ,636,1454
67,12,پارکینگ بیرون آمد. ,161,266
68,1,1. Potter ,80,143
69,2,فصل اول * پسری که زنده ماند ۹ ,634,724
70,3,بهانه می‌گرفت نتوانست او را ببوسد. دادلی با اوقات تلخی غذایش را به در و ,635,1368
71,4,دیوار پرتاب می‌کرد. آقای دورسلی گفت: «ای وروجک فسقلی!» و در حالی ,634,1053
72,5,که از ته دل می‌خندید از در بیرون رفت. سوار اتومبیلش شد و دنده عقب از ,636,1454
73,6,پارکینگ بیرون آمد. ,161,266
74,7,اولین صحنه‌ی غیرعادی آن روز گربه‌ای بود که نقشه‌ای را می‌خواند. یک ,613,1079
75,8,آن متوجه آنچه دیده بود نشد اما بلافاصله روبش را برگرداند تا نگاه دیگری ,641,1195
76,9,بکند. این بار گربه‌ای را دید که سر کوچه ایستاده بود ولی از نقشه خبری نبود. ,634,1381
77,10,شاید خیالاتی شده بود. شاید هم آن صحنه حاصل خطای دیدش بود.چند ,633,1053
78,11,بار پلک زد و به گربه خیره شد. گربه نیز به او زل زد. دوباره راه افتاد اما این بار ,636,1707
79,12,از آینه‌ی اتومبیل گربه را زبر نظر داشت. گربه این بار مشغول خواندن تابلویی ,634,1181
80,13,"بود که روی آن نوشته شده بود: پریوت درایو"". آقای دورسلی به خود نهیب ",634,1160
81,14,زد: «نه» داره تابلو رو نگاه می‌کنه. ولی گربه‌ها که نمی‌تونن نقشه یا تابلو ,636,1156
82,15,بخونن.» او روی صندلی اتومبیل جا به جا شد و فکرگربه را از سر بیرون کرد. ,634,1423
